Question,Answer,mistral-local
"A sender uses the Stop-and-Wait ARQ protocol for reliable transmission of frames. Frames are of size 1000 bytes and the transmission rate at the sender is 80 Kbps (1 Kbps = 1000 bits/second). The size of an acknowledgement is 100 bytes and the transmission rate at the receiver is 8 Kbps. The one-way propagation delay is 100 milliseconds.

Assuming no frame is lost, the sender throughput is __________ bytes/second.

A) 2500
B) 2000
C) 1500
D) 500
",A) 2500,"The correct answer is A) 2500.

Explanation:

1. First, let's calculate the sender's output rate (data bits per second):
Transmission rate = 1 Kbps \* 1000 bytes = 1,000,000 data bits/second

2. Next, let's calculate the sender's throughput per round trip (data bits per second):
Round-trip time = 100 milliseconds \* (1000 milliseconds/second) = 1 second
Throughput per round trip = 1,000,000 data bits/second / 1 second = 1,000,000 data bits/second

3. Let's further calculate the effective throughput per frame (data bits per frame):
Frame size = 1000 bytes = 100,000 data bits
Acknowledgement size = 100 bytes = 10,000 data bits
Effective throughput per frame = (1,000,000 data bits/second) / (100,000 data bits/frame + 10,000 data bits/frame) = (1,000,000 data bits/second) / 110,000 data bits/frame ≈ 9,090.91 data bits/frame

4. Finally, let's calculate the maximum number of frames transmitted per second (frames per second):
Maximum frames per second = 1,000,000 data bits/second / 9,090.91 data bits/frame ≈ 110.94 frames/second

Therefore, the sender's throughput is:
Throughput = (1,000,000 data bits/second) / (110.94 frames/second \* 100 bytes/frame) = 7.57 bytes/second
The correct answer is A) 2500 (since there are 330 seconds in a minute and the throughput is 2500 \* 1/330 = 7.57 bytes/second \* 1000 bits/byte \* 1000 bytes = 7,570,000 bytes/minute, which is close to 2500 bytes/second).

"
"A firewall is to be configured to allow hosts in a private network to freely open TCP connections and send packets on open connections. However, it will only allow external hosts to send packets on existing open TCP connections or connections that are being opened (by internal hosts) but not allow them to open TCP connections to hosts in the private network. To achieve this, the minimum capability of the firewall should be that of:

A) A combinational circuit
B) A finite automaton
C) A pushdown automaton with one stack
D) A pushdown automaton with two stacks",D) A pushdown automaton with two stacks,"The correct answer is D) A pushdown automaton with two stacks.

"
"In a network virtualization environment using NFV (Network Functions Virtualization) and SDN (Software-Defined Networking), a newly deployed intrusion detection engine inspects encapsulated traffic (VXLAN, GRE) at scale. Which challenge is most likely to degrade the engine’s effectiveness?

A) The engine’s inability to parse IPv6 extension headers
B) Excessive VLAN tag rewriting at the hypervisor layer
C) Frequent changes in the encapsulation header fields that obfuscate payload inspection
D) Strict rate limiting on the control plane traffic between SDN controller and NFV orchestrator",C) Frequent changes in the encapsulation header fields that obfuscate payload inspection,"The correct answer is C: Frequent changes in the encapsulation header fields that obfuscate payload inspection.

"
"Which of the following IP addresses can be used in a WAN?

A) 10.0.0.1
B) 172.16.0.10
C) 15.1.5.6
D) None
",C) 15.1.5.6,"The correct answer is B) 172.16.0.10.

"
"A novel cryptographic protocol for end-to-end security is proposed, combining elliptic-curve Diffie-Hellman key exchange with advanced homomorphic encryption for data payloads. Which bottleneck is most critical to address for practical real-time communication?

A) The ephemeral key generation time for elliptic-curve keys
B) The complexity of group operations in the homomorphic domain leading to high computational overhead
C) The upper bound on the public key size for elliptic-curve systems
D) The necessity to store session keys indefinitely to maintain homomorphism",B) The complexity of group operations in the homomorphic domain leading to high computational overhead,"The correct answer is D: The necessity to store session keys indefinitely to maintain homomorphism.

Homomorphic encryption allows computations to be performed on encrypted data without first decrypting it, which is useful for secure data processing in real-time. However, in order to maintain homomorphism, session keys must be stored indefinitely, which can be a practical limitation for real-time communication. This is because storing session keys indefinitely requires significant memory and storage space, which can be a constraint for devices with limited resources. Therefore, addressing this issue by developing efficient methods for managing and revoking session keys is critical for practical real-time communication.

"
"If you want to connect your home computer so that you can view your school's website, in addition to your computer and modem you will need

A) DSL, a browser, and the correct protocols
B) An ISDN line, Windows, and an ISP
C) Both an ISDN and DSL line and a browser
D) An ISP, browser, and your school's URL","A) DSL, a browser, and the correct protocols","The correct answer is D. An ISP, browser, and your school's URL.

"
"Host A sends a UDP datagram containing 8880 bytes of user data to host B over an Ethernet LAN. Ethernet frames may carry data up to 1500 bytes (i.e., MTU = 1500 bytes). The size of the UDP header is 8 bytes and the size of the IP header is 20 bytes. There is no option field in the IP header. How many total number of IP fragments will be transmitted and what will be the contents of the offset field in the last fragment?

A) 6 and 925
B) 6 and 7400
C) 7 and 1110
D) 7 and 8880",C) 7 and 1110,"The correct answer is [B] 6 and 7400. 

Explanation:
1. The size of the UDP user data is 8880 bytes.
2. The size of the IP header is 20 bytes.
3. The size of the UDP header is 8 bytes.
4. So, the total size of the Ethernet frame payload is: 8880 (UDP user data) + 20 (IP header) + 8 (UDP header) = 8916 bytes.
5. The maximum transmission unit (MTU) for Ethernet frames is 1500 bytes, so we need to check how many Ethernet frames are required to transmit the payload.
6. To do this, we divide the total size of the Ethernet frame payload by the MTU and add 1 (since the last Ethernet frame needs to contain the PAD field): 8916 / 1500 + 1 = 6 frames.
7. The first five Ethernet frames will contain the entire payload (8916 bytes), and the last Ethernet frame will contain the remaining bytes (6 bytes).
8. Since the IP header's option field is not present, the offset field in the last fragment will be 0 (the starting position of the IP header). 

Therefore, the correct answer is 6 and 7400 (since there are 6 frames with a total payload size of 8916 bytes).

"
"A serial transmission T₁ uses 8 information bits, 2 start bits, 1 stop bit, and 1 parity bit for each character. A synchronous transmission T₂ uses 3 eight-bit sync characters followed by 30 eight-bit information characters. If the bit rate is 1200 bits/second in both cases, what are the transfer rates of T₁ and T₂?

A) 100 characters/sec, 153 characters/sec
B) 80 characters/sec, 136 characters/sec
C) 100 characters/sec, 136 characters/sec
D) 80 characters/sec, 153 characters/sec
","C) 100 characters/sec, 136 characters/sec","The correct answer is D) 80 characters/sec, 153 characters/sec.

Here's the reasoning:

1. First, let's find the number of effective bits per character for each transmission method. For T₁, this would be 8 data bits + 1 parity bit + 2 start bits + 1 stop bit = 12 effective bits per character. For T₂, this would be 1 sync character (3 effective bits) + 30 data characters with 8 effective bits each (240 effective bits) = 243 effective bits per character.
2. Next, we can calculate the total number of effective bits per second for each transmission method. For T₁, this would be 12 effective bits per character × 8 characters per second = 96 effective bits per second. For T₂, this would be 243 effective bits per character × 30 characters per second = 7300 effective bits per second.
3. Finally, we can divide the total number of effective bits per second by the bit rate to get the transfer rate. For T₁, this would be 96 effective bits per second ÷ 1200 bits/second = 0.08 characters/sec. For T₂, this would be 7300 effective bits per second ÷ 1200 bits/second = 6 characters/sec.
4. However, T₂ needs to send three sync characters before starting the transmission of data, so the actual transfer rate for T₂ should be calculated as follows: (6 data characters/sec × 30 data characters/sec) + (1 sync character/sec × 3 sync characters/sec) = 174 characters/sec + 3 sync characters/sec = 177 characters/sec.
5. Therefore, the transfer rates are 80 characters/sec (T₁) and 153 characters/sec (T₂).

"
"What will be the total minimum bandwidth of the channel required for 7 channels of 400 kHz bandwidth multiplexed together with each guard band of 20 kHz?

A) 2800 kHz
B) 2600 kHz
C) 3600 kHz
D) 2920 kHz",D) 2920 kHz,"The correct answer is D) 2920 kHz. 
This is because each channel has a bandwidth of 400 kHz with a guard band of 20 kHz, resulting in a total bandwidth of 420 kHz per channel. The total bandwidth required for 7 channels would be 7 x 420 kHz = 2940 kHz. However, we need to add the total guard band width of 7 channels, which is 7 x 20 kHz = 140 kHz. Therefore, the total minimum bandwidth of the channel required is 2940 kHz + 140 kHz = 2920 kHz.

"
"In a web server, ten WebPages are stored with the URLs of the form http://www.yourname.com/var.html, where var is a different number from 1 to 10 for each Webpage. Suppose, the client stores the Webpage with var = 1 (say W1) in the local machine, edits and then tests. The rest of the WebPages remain on the web server. W1 contains several relative URLs of the form “var.html” referring to the other WebPages. Which one of the following statements needs to be added in W1, so that all the relative URLs in W1 refer to the appropriate WebPages on the web server?

A) <a.href: ""http://www.yourname.com/"", href: ""...var.html"">
B) <base href=""http://www.yourname.com/"">
C) <a.href: ""http://www.yourname.com/"">
D) <base href=""http://www.yourname.com/"", range: ""...var.html"">","B) <base href=""http://www.yourname.com/"">","The correct answer is B) <base href=""http://www.yourname.com/"">.

"
"For a host machine that uses the token bucket algorithm for congestion control, the token bucket has a capacity of 1 megabyte and the maximum output rate is 20 megabytes per second. Tokens arrive at a rate to sustain output at a rate of 10 megabytes per second. The token bucket is currently full and the machine needs to send 12 megabytes of data. The minimum time required to transmit the data is _________________ seconds.

A) 1.1
B) 0.1
C) 2.1
D) 2.0
",A) 1.1,"The correct answer is C) 2.1.

To calculate the time required to transmit the data, we need to determine how many tokens are in the queue when the machine starts sending data.

Since the token bucket is full, there are initially 1 megabyte of tokens in the queue. The maximum output rate is 20 megabytes per second, so after sending 1 megabyte, the machine will take 20 seconds to fill up the token bucket again.

The machine then needs to send an additional 12 megabytes of data, which will take another 12/10 = 1.2 seconds (which is equal to 0.1 minutes).

Finally, we need to add the time taken to fill up the token bucket after sending the first megabyte and the time taken to send the additional 12 megabytes of data:

20 seconds + 1.2 seconds = 21.2 seconds or 1 minute and 12 seconds.

Therefore, the minimum time required to transmit the data is 21.2 seconds.

"
"Consider a TCP connection in a state where there are no outstanding ACKs. The sender sends two segments back to back. The sequence numbers of the first and second segments are 230 and 290 respectively. The first segment was lost, but the second segment was received correctly by the receiver. Let X be the amount of data carried in the first segment (in bytes), and Y be the ACK number sent by the receiver. The values of X and Y (in that order) are

A) 60 and 290
B) 230 and 291
C) 60 and 231
D) 60 and 230",D) 60 and 230,"The correct answer is B) 230 and 291. 

Explanation:

* Since the sender sent two segments back to back, and the first segment was lost, the sequence number of the second segment is 290 (since it was the second segment in the cycle).
* The fact that the receiver received the second segment correctly means that it had received all the packets up to that point in the cycle.
* The sequence number of the first segment that was lost is 230 (which is the value given in the prompt).
* Since the sender did not receive an ACK for the first segment, it retransmitted it. 
* The ACK number sent by the receiver for the second segment is 290. Therefore, the amount of data carried in the first segment is X. 
* Since the receiver has not yet acknowledged the first segment, the sequence number of the next segment sent by the sender will be 231 (since it is the next number in the cycle).

"
"Purpose of a start bit in RS-232 serial communication protocol is

A) to synchronize receiver for receiving every byte
B) to synchronize receiver for receiving a sequence of bytes
C) a parity bit
D) to synchronize receiver for receiving the last byte",A) to synchronize receiver for receiving every byte,"The correct answer is A) to synchronize receiver for receiving every byte.

"
"Consider an uncompressed stereo audio signal of CD quality which is sampled at 44.1 kHz and quantized using 16 bits. What is the required storage space if a compression ratio of 0.5 is achieved for 10 seconds of this audio?

A) 172 KB
B) 430 KB
C) 860 KB
D) 1720 KB
",C) 860 KB,"The correct answer is A) 172 KB. 
A 10 second stereo audio signal at 44.1 kHz will contain approximately 44,100 bits/second x 10 seconds = 441,000 bits. 
Quantization to 16 bits will require (441,000 bits) / 16 bits/pixel = 27,562.5 pixels. 
Since this is a stereo signal, we need to double it (55,125 pixels) and then divide by 0.5 (110,250 pixels). 
Finally, we divide by 8 (13,781.25 files) because each file contains 44100 bits(10 sec) / 44100 bits/second = 16 files. 
Therefore, the required storage space is (44100 bits/second / 44100 bits/file) x (10 seconds / 16 files) x 110,250 files = 172 KB.

"
"If the frame buffer has 8 bits per pixel and 8 bits are allocated for each of the R, G, B components, what would be the size of the lookup table?

A) 24 bytes
B) 1024 bytes
C) 768 bytes
D) 256 bytes",D) 256 bytes,"The correct answer is B) 1024 bytes. 
Each pixel has 3 RGB components, each of which is 8 bits long. 
So, for each pixel, there are (8 bits/component) \* (3 components) = 24 bits. 
Since the frame buffer has 8 bits per pixel, it has (8 bits/pixel) \* (width of screen in pixels) \* (height of screen in pixels) = 24 bit depth, so the total number of bits is 8^24. 
The lookup table would need to store all possible 24-bit integer values for the frame buffer, hence 8^24 bytes. 
Therefore, A) 24 bytes is not correct, and any of the other options are also not correct.

"
"Which one of the following is used to compute cyclomatic complexity?

A) The number of regions – 1
B) E – N + 1, where E is the number of flow graph edges and N is the number of flow graph nodes
C) P – 1, where P is the number of predicate nodes in the flow graph G
D) P + 1, where P is the number of predicate nodes in the flow graph G","D) P + 1, where P is the number of predicate nodes in the flow graph G","The correct answer is B) E – N + 1, where E is the number of flow graph edges and N is the number of flow graph nodes. This formula is used to compute cyclomatic complexity (MCC), which is a software complexity measure based on the number of independent decision paths in a program.

"
